datetime,r_f,near_Maturity_time,days_in_year,T1_min,next_Maturity_time,T2_min,close
2023-12-01 10:58:00,0.023439,2023-12-27 09:30:00,365,37352.0,2024-01-24 09:30:00,77672.0,0.901
2023-12-01 10:59:00,0.023439,2023-12-27 09:30:00,365,37351.0,2024-01-24 09:30:00,77671.0,0.901
2023-12-01 11:00:00,0.023439,2023-12-27 09:30:00,365,37350.0,2024-01-24 09:30:00,77670.0,0.901
2023-12-01 11:01:00,0.023439,2023-12-27 09:30:00,365,37349.0,2024-01-24 09:30:00,77669.0,0.9
2023-12-01 11:02:00,0.023439,2023-12-27 09:30:00,365,37348.0,2024-01-24 09:30:00,77668.0,0.901
2023-12-01 11:03:00,0.023439,2023-12-27 09:30:00,365,37347.0,2024-01-24 09:30:00,77667.0,0.901
2023-12-01 11:04:00,0.023439,2023-12-27 09:30:00,365,37346.0,2024-01-24 09:30:00,77666.0,0.901
2023-12-01 11:05:00,0.023439,2023-12-27 09:30:00,365,37345.0,2024-01-24 09:30:00,77665.0,0.9
2023-12-01 11:06:00,0.023439,2023-12-27 09:30:00,365,37344.0,2024-01-24 09:30:00,77664.0,0.901
2023-12-01 11:07:00,0.023439,2023-12-27 09:30:00,365,37343.0,2024-01-24 09:30:00,77663.0,0.901
2023-12-01 11:08:00,0.023439,2023-12-27 09:30:00,365,37342.0,2024-01-24 09:30:00,77662.0,0.9
2023-12-01 11:09:00,0.023439,2023-12-27 09:30:00,365,37341.0,2024-01-24 09:30:00,77661.0,0.901
2023-12-01 11:10:00,0.023439,2023-12-27 09:30:00,365,37340.0,2024-01-24 09:30:00,77660.0,0.901
2023-12-01 11:11:00,0.023439,2023-12-27 09:30:00,365,37339.0,2024-01-24 09:30:00,77659.0,0.902
2023-12-01 11:12:00,0.023439,2023-12-27 09:30:00,365,37338.0,2024-01-24 09:30:00,77658.0,0.902
2023-12-01 11:13:00,0.023439,2023-12-27 09:30:00,365,37337.0,2024-01-24 09:30:00,77657.0,0.901
2023-12-01 11:14:00,0.023439,2023-12-27 09:30:00,365,37336.0,2024-01-24 09:30:00,77656.0,0.901
2023-12-01 11:15:00,0.023439,2023-12-27 09:30:00,365,37335.0,2024-01-24 09:30:00,77655.0,0.901
2023-12-01 11:16:00,0.023439,2023-12-27 09:30:00,365,37334.0,2024-01-24 09:30:00,77654.0,0.901
2023-12-01 11:17:00,0.023439,2023-12-27 09:30:00,365,37333.0,2024-01-24 09:30:00,77653.0,0.902
2023-12-01 11:18:00,0.023439,2023-12-27 09:30:00,365,37332.0,2024-01-24 09:30:00,77652.0,0.901
2023-12-01 11:19:00,0.023439,2023-12-27 09:30:00,365,37331.0,2024-01-24 09:30:00,77651.0,0.901
2023-12-01 11:20:00,0.023439,2023-12-27 09:30:00,365,37330.0,2024-01-24 09:30:00,77650.0,0.901
2023-12-01 11:21:00,0.023439,2023-12-27 09:30:00,365,37329.0,2024-01-24 09:30:00,77649.0,0.901
2023-12-01 11:22:00,0.023439,2023-12-27 09:30:00,365,37328.0,2024-01-24 09:30:00,77648.0,0.901
2023-12-01 11:23:00,0.023439,2023-12-27 09:30:00,365,37327.0,2024-01-24 09:30:00,77647.0,0.901
2023-12-01 11:24:00,0.023439,2023-12-27 09:30:00,365,37326.0,2024-01-24 09:30:00,77646.0,0.901
2023-12-01 11:25:00,0.023439,2023-12-27 09:30:00,365,37325.0,2024-01-24 09:30:00,77645.0,0.9
2023-12-01 11:26:00,0.023439,2023-12-27 09:30:00,365,37324.0,2024-01-24 09:30:00,77644.0,0.9
2023-12-01 11:27:00,0.023439,2023-12-27 09:30:00,365,37323.0,2024-01-24 09:30:00,77643.0,0.901
2023-12-01 11:28:00,0.023439,2023-12-27 09:30:00,365,37322.0,2024-01-24 09:30:00,77642.0,0.9
2023-12-01 11:29:00,0.023439,2023-12-27 09:30:00,365,37321.0,2024-01-24 09:30:00,77641.0,0.9
2023-12-01 11:30:00,0.023439,2023-12-27 09:30:00,365,37320.0,2024-01-24 09:30:00,77640.0,0.901
2023-12-01 13:01:00,0.023439,2023-12-27 09:30:00,365,37229.0,2024-01-24 09:30:00,77549.0,0.9
2023-12-01 13:02:00,0.023439,2023-12-27 09:30:00,365,37228.0,2024-01-24 09:30:00,77548.0,0.9
2023-12-01 13:03:00,0.023439,2023-12-27 09:30:00,365,37227.0,2024-01-24 09:30:00,77547.0,0.9
2023-12-01 13:04:00,0.023439,2023-12-27 09:30:00,365,37226.0,2024-01-24 09:30:00,77546.0,0.901
2023-12-01 13:05:00,0.023439,2023-12-27 09:30:00,365,37225.0,2024-01-24 09:30:00,77545.0,0.9
2023-12-01 13:06:00,0.023439,2023-12-27 09:30:00,365,37224.0,2024-01-24 09:30:00,77544.0,0.9
2023-12-01 13:07:00,0.023439,2023-12-27 09:30:00,365,37223.0,2024-01-24 09:30:00,77543.0,0.899
2023-12-01 13:08:00,0.023439,2023-12-27 09:30:00,365,37222.0,2024-01-24 09:30:00,77542.0,0.9
2023-12-01 13:09:00,0.023439,2023-12-27 09:30:00,365,37221.0,2024-01-24 09:30:00,77541.0,0.9
2023-12-01 13:10:00,0.023439,2023-12-27 09:30:00,365,37220.0,2024-01-24 09:30:00,77540.0,0.899
2023-12-01 13:11:00,0.023439,2023-12-27 09:30:00,365,37219.0,2024-01-24 09:30:00,77539.0,0.899
2023-12-01 13:12:00,0.023439,2023-12-27 09:30:00,365,37218.0,2024-01-24 09:30:00,77538.0,0.9
2023-12-01 13:13:00,0.023439,2023-12-27 09:30:00,365,37217.0,2024-01-24 09:30:00,77537.0,0.9
2023-12-01 13:14:00,0.023439,2023-12-27 09:30:00,365,37216.0,2024-01-24 09:30:00,77536.0,0.899
2023-12-01 13:15:00,0.023439,2023-12-27 09:30:00,365,37215.0,2024-01-24 09:30:00,77535.0,0.899
2023-12-01 13:16:00,0.023439,2023-12-27 09:30:00,365,37214.0,2024-01-24 09:30:00,77534.0,0.9
2023-12-01 13:17:00,0.023439,2023-12-27 09:30:00,365,37213.0,2024-01-24 09:30:00,77533.0,0.899
2023-12-01 13:18:00,0.023439,2023-12-27 09:30:00,365,37212.0,2024-01-24 09:30:00,77532.0,0.9
2023-12-01 13:19:00,0.023439,2023-12-27 09:30:00,365,37211.0,2024-01-24 09:30:00,77531.0,0.899
2023-12-01 13:20:00,0.023439,2023-12-27 09:30:00,365,37210.0,2024-01-24 09:30:00,77530.0,0.899
2023-12-01 13:21:00,0.023439,2023-12-27 09:30:00,365,37209.0,2024-01-24 09:30:00,77529.0,0.9
2023-12-01 13:22:00,0.023439,2023-12-27 09:30:00,365,37208.0,2024-01-24 09:30:00,77528.0,0.9
2023-12-01 13:23:00,0.023439,2023-12-27 09:30:00,365,37207.0,2024-01-24 09:30:00,77527.0,0.9
2023-12-01 13:24:00,0.023439,2023-12-27 09:30:00,365,37206.0,2024-01-24 09:30:00,77526.0,0.9
2023-12-01 13:25:00,0.023439,2023-12-27 09:30:00,365,37205.0,2024-01-24 09:30:00,77525.0,0.899
2023-12-01 13:26:00,0.023439,2023-12-27 09:30:00,365,37204.0,2024-01-24 09:30:00,77524.0,0.899
2023-12-01 13:27:00,0.023439,2023-12-27 09:30:00,365,37203.0,2024-01-24 09:30:00,77523.0,0.9
2023-12-01 13:28:00,0.023439,2023-12-27 09:30:00,365,37202.0,2024-01-24 09:30:00,77522.0,0.9
2023-12-01 13:29:00,0.023439,2023-12-27 09:30:00,365,37201.0,2024-01-24 09:30:00,77521.0,0.901
2023-12-01 13:30:00,0.023439,2023-12-27 09:30:00,365,37200.0,2024-01-24 09:30:00,77520.0,0.901
2023-12-01 13:31:00,0.023439,2023-12-27 09:30:00,365,37199.0,2024-01-24 09:30:00,77519.0,0.901
2023-12-01 13:32:00,0.023439,2023-12-27 09:30:00,365,37198.0,2024-01-24 09:30:00,77518.0,0.9
2023-12-01 13:33:00,0.023439,2023-12-27 09:30:00,365,37197.0,2024-01-24 09:30:00,77517.0,0.9
2023-12-01 13:34:00,0.023439,2023-12-27 09:30:00,365,37196.0,2024-01-24 09:30:00,77516.0,0.9
2023-12-01 13:35:00,0.023439,2023-12-27 09:30:00,365,37195.0,2024-01-24 09:30:00,77515.0,0.902
2023-12-01 13:36:00,0.023439,2023-12-27 09:30:00,365,37194.0,2024-01-24 09:30:00,77514.0,0.903
2023-12-01 13:37:00,0.023439,2023-12-27 09:30:00,365,37193.0,2024-01-24 09:30:00,77513.0,0.904
2023-12-01 13:38:00,0.023439,2023-12-27 09:30:00,365,37192.0,2024-01-24 09:30:00,77512.0,0.904
2023-12-01 13:39:00,0.023439,2023-12-27 09:30:00,365,37191.0,2024-01-24 09:30:00,77511.0,0.904
2023-12-01 13:40:00,0.023439,2023-12-27 09:30:00,365,37190.0,2024-01-24 09:30:00,77510.0,0.905
2023-12-01 13:41:00,0.023439,2023-12-27 09:30:00,365,37189.0,2024-01-24 09:30:00,77509.0,0.904
2023-12-01 13:42:00,0.023439,2023-12-27 09:30:00,365,37188.0,2024-01-24 09:30:00,77508.0,0.903
2023-12-01 13:43:00,0.023439,2023-12-27 09:30:00,365,37187.0,2024-01-24 09:30:00,77507.0,0.904
2023-12-01 13:44:00,0.023439,2023-12-27 09:30:00,365,37186.0,2024-01-24 09:30:00,77506.0,0.905
2023-12-01 13:45:00,0.023439,2023-12-27 09:30:00,365,37185.0,2024-01-24 09:30:00,77505.0,0.904
2023-12-01 13:46:00,0.023439,2023-12-27 09:30:00,365,37184.0,2024-01-24 09:30:00,77504.0,0.904
2023-12-01 13:47:00,0.023439,2023-12-27 09:30:00,365,37183.0,2024-01-24 09:30:00,77503.0,0.906
2023-12-01 13:48:00,0.023439,2023-12-27 09:30:00,365,37182.0,2024-01-24 09:30:00,77502.0,0.906
2023-12-01 13:49:00,0.023439,2023-12-27 09:30:00,365,37181.0,2024-01-24 09:30:00,77501.0,0.907
2023-12-01 13:50:00,0.023439,2023-12-27 09:30:00,365,37180.0,2024-01-24 09:30:00,77500.0,0.907
2023-12-01 13:51:00,0.023439,2023-12-27 09:30:00,365,37179.0,2024-01-24 09:30:00,77499.0,0.907
2023-12-01 13:52:00,0.023439,2023-12-27 09:30:00,365,37178.0,2024-01-24 09:30:00,77498.0,0.909
2023-12-01 13:53:00,0.023439,2023-12-27 09:30:00,365,37177.0,2024-01-24 09:30:00,77497.0,0.908
2023-12-01 13:54:00,0.023439,2023-12-27 09:30:00,365,37176.0,2024-01-24 09:30:00,77496.0,0.908
2023-12-01 13:55:00,0.023439,2023-12-27 09:30:00,365,37175.0,2024-01-24 09:30:00,77495.0,0.91
2023-12-01 13:56:00,0.023439,2023-12-27 09:30:00,365,37174.0,2024-01-24 09:30:00,77494.0,0.909
2023-12-01 13:57:00,0.023439,2023-12-27 09:30:00,365,37173.0,2024-01-24 09:30:00,77493.0,0.909
