,datetime,r_f,near_maturity_time,days_in_year,T1_min,next_maturity_time,T2_min,close
25,2024-05-10 09:56:00,0.017044,2024-05-17 09:30:00,242,7174.0,2024-06-21 09:30:00,41734.0,5572.2405
26,2024-05-10 09:57:00,0.017044,2024-05-17 09:30:00,242,7173.0,2024-06-21 09:30:00,41733.0,5572.8339
27,2024-05-10 09:58:00,0.017044,2024-05-17 09:30:00,242,7172.0,2024-06-21 09:30:00,41732.0,5572.0192
28,2024-05-10 09:59:00,0.017044,2024-05-17 09:30:00,242,7171.0,2024-06-21 09:30:00,41731.0,5566.4635
29,2024-05-10 10:00:00,0.017044,2024-05-17 09:30:00,242,7170.0,2024-06-21 09:30:00,41730.0,5566.023
30,2024-05-10 10:01:00,0.017044,2024-05-17 09:30:00,242,7169.0,2024-06-21 09:30:00,41729.0,5557.1102
31,2024-05-10 10:02:00,0.017044,2024-05-17 09:30:00,242,7168.0,2024-06-21 09:30:00,41728.0,5558.6246
32,2024-05-10 10:03:00,0.017044,2024-05-17 09:30:00,242,7167.0,2024-06-21 09:30:00,41727.0,5561.4948
33,2024-05-10 10:04:00,0.017044,2024-05-17 09:30:00,242,7166.0,2024-06-21 09:30:00,41726.0,5563.443
34,2024-05-10 10:05:00,0.017044,2024-05-17 09:30:00,242,7165.0,2024-06-21 09:30:00,41725.0,5568.5472
35,2024-05-10 10:06:00,0.017044,2024-05-17 09:30:00,242,7164.0,2024-06-21 09:30:00,41724.0,5563.2826
36,2024-05-10 10:07:00,0.017044,2024-05-17 09:30:00,242,7163.0,2024-06-21 09:30:00,41723.0,5569.2157
37,2024-05-10 10:08:00,0.017044,2024-05-17 09:30:00,242,7162.0,2024-06-21 09:30:00,41722.0,5568.0341
38,2024-05-10 10:09:00,0.017044,2024-05-17 09:30:00,242,7161.0,2024-06-21 09:30:00,41721.0,5565.6312
39,2024-05-10 10:10:00,0.017044,2024-05-17 09:30:00,242,7160.0,2024-06-21 09:30:00,41720.0,5564.1831
40,2024-05-10 10:11:00,0.017044,2024-05-17 09:30:00,242,7159.0,2024-06-21 09:30:00,41719.0,5561.1137
41,2024-05-10 10:12:00,0.017044,2024-05-17 09:30:00,242,7158.0,2024-06-21 09:30:00,41718.0,5557.7938
42,2024-05-10 10:13:00,0.017044,2024-05-17 09:30:00,242,7157.0,2024-06-21 09:30:00,41717.0,5557.1902
43,2024-05-10 10:14:00,0.017044,2024-05-17 09:30:00,242,7156.0,2024-06-21 09:30:00,41716.0,5556.2454
44,2024-05-10 10:15:00,0.017044,2024-05-17 09:30:00,242,7155.0,2024-06-21 09:30:00,41715.0,5565.7434
45,2024-05-10 10:16:00,0.017044,2024-05-17 09:30:00,242,7154.0,2024-06-21 09:30:00,41714.0,5567.1133
46,2024-05-10 10:17:00,0.017044,2024-05-17 09:30:00,242,7153.0,2024-06-21 09:30:00,41713.0,5563.8586
47,2024-05-10 10:18:00,0.017044,2024-05-17 09:30:00,242,7152.0,2024-06-21 09:30:00,41712.0,5565.6257
48,2024-05-10 10:19:00,0.017044,2024-05-17 09:30:00,242,7151.0,2024-06-21 09:30:00,41711.0,5569.0457
49,2024-05-10 10:20:00,0.017044,2024-05-17 09:30:00,242,7150.0,2024-06-21 09:30:00,41710.0,5566.2146
50,2024-05-10 10:21:00,0.017044,2024-05-17 09:30:00,242,7149.0,2024-06-21 09:30:00,41709.0,5562.8662
51,2024-05-10 10:22:00,0.017044,2024-05-17 09:30:00,242,7148.0,2024-06-21 09:30:00,41708.0,5559.2765
52,2024-05-10 10:23:00,0.017044,2024-05-17 09:30:00,242,7147.0,2024-06-21 09:30:00,41707.0,5562.0502
53,2024-05-10 10:24:00,0.017044,2024-05-17 09:30:00,242,7146.0,2024-06-21 09:30:00,41706.0,5557.0837
54,2024-05-10 10:25:00,0.017044,2024-05-17 09:30:00,242,7145.0,2024-06-21 09:30:00,41705.0,5560.6696
55,2024-05-10 10:26:00,0.017044,2024-05-17 09:30:00,242,7144.0,2024-06-21 09:30:00,41704.0,5560.7485
56,2024-05-10 10:27:00,0.017044,2024-05-17 09:30:00,242,7143.0,2024-06-21 09:30:00,41703.0,5562.9157
57,2024-05-10 10:28:00,0.017044,2024-05-17 09:30:00,242,7142.0,2024-06-21 09:30:00,41702.0,5564.1565
58,2024-05-10 10:29:00,0.017044,2024-05-17 09:30:00,242,7141.0,2024-06-21 09:30:00,41701.0,5564.5485
59,2024-05-10 10:30:00,0.017044,2024-05-17 09:30:00,242,7140.0,2024-06-21 09:30:00,41700.0,5564.5846
60,2024-05-10 10:31:00,0.017044,2024-05-17 09:30:00,242,7139.0,2024-06-21 09:30:00,41699.0,5558.6643
61,2024-05-10 10:32:00,0.017044,2024-05-17 09:30:00,242,7138.0,2024-06-21 09:30:00,41698.0,5560.1227
62,2024-05-10 10:33:00,0.017044,2024-05-17 09:30:00,242,7137.0,2024-06-21 09:30:00,41697.0,5556.2928
63,2024-05-10 10:34:00,0.017044,2024-05-17 09:30:00,242,7136.0,2024-06-21 09:30:00,41696.0,5553.9716
64,2024-05-10 10:35:00,0.017044,2024-05-17 09:30:00,242,7135.0,2024-06-21 09:30:00,41695.0,5550.1379
65,2024-05-10 10:36:00,0.017044,2024-05-17 09:30:00,242,7134.0,2024-06-21 09:30:00,41694.0,5553.0534
66,2024-05-10 10:37:00,0.017044,2024-05-17 09:30:00,242,7133.0,2024-06-21 09:30:00,41693.0,5554.1724
67,2024-05-10 10:38:00,0.017044,2024-05-17 09:30:00,242,7132.0,2024-06-21 09:30:00,41692.0,5557.9987
68,2024-05-10 10:39:00,0.017044,2024-05-17 09:30:00,242,7131.0,2024-06-21 09:30:00,41691.0,5560.2048
69,2024-05-10 10:40:00,0.017044,2024-05-17 09:30:00,242,7130.0,2024-06-21 09:30:00,41690.0,5561.5209
70,2024-05-10 10:41:00,0.017044,2024-05-17 09:30:00,242,7129.0,2024-06-21 09:30:00,41689.0,5564.4176
71,2024-05-10 10:42:00,0.017044,2024-05-17 09:30:00,242,7128.0,2024-06-21 09:30:00,41688.0,5564.9219
72,2024-05-10 10:43:00,0.017044,2024-05-17 09:30:00,242,7127.0,2024-06-21 09:30:00,41687.0,5565.6614
73,2024-05-10 10:44:00,0.017044,2024-05-17 09:30:00,242,7126.0,2024-06-21 09:30:00,41686.0,5566.4064
74,2024-05-10 10:45:00,0.017044,2024-05-17 09:30:00,242,7125.0,2024-06-21 09:30:00,41685.0,5564.0663
75,2024-05-10 10:46:00,0.017044,2024-05-17 09:30:00,242,7124.0,2024-06-21 09:30:00,41684.0,5563.0292
76,2024-05-10 10:47:00,0.017044,2024-05-17 09:30:00,242,7123.0,2024-06-21 09:30:00,41683.0,5565.1277
